店舗コード,店舗名,店舗有効開始日,店舗無効予定日,
100,店舗100,2012/01/01,2013/01/01
100,店舗100,2012/01/02,2013/01/02
100,店舗100,2012/01/03,2013/01/03
100,店舗100,2012/01/04,2013/01/04
100,店舗100,2012/01/05,2013/01/05
101,店舗101,2012/01/06,2013/01/06
101,店舗101,2012/01/07,2013/01/07
101,店舗101,2012/01/08,2013/01/08
101,店舗101,2012/01/09,2013/01/09
101,店舗101,2012/01/10,2013/01/10
102,店舗102,2012/01/11,2013/01/11
102,店舗102,2012/01/12,2013/01/12
102,店舗102,2012/01/13,2013/01/13
102,店舗102,2012/01/14,2013/01/14
102,店舗102,2012/01/15,2013/01/15
103,店舗103,2012/01/16,2013/01/16
103,店舗103,2012/01/17,2013/01/17
103,店舗103,2012/01/18,2013/01/18
103,店舗103,2012/01/19,2013/01/19
103,店舗103,2012/01/20,2013/01/20
104,店舗104,2012/01/21,2013/01/21
104,店舗104,2012/01/22,2013/01/22
104,店舗104,2012/01/23,2013/01/23
104,店舗104,2012/01/24,2013/01/24
104,店舗104,2012/01/25,2013/01/25
105,店舗105,2012/01/26,2013/01/26
105,店舗105,2012/01/27,2013/01/27
105,店舗105,2012/01/28,2013/01/28
105,店舗105,2012/01/29,2013/01/29
105,店舗105,2012/01/30,2013/01/30
106,店舗106,2012/01/31,2013/01/31
106,店舗106,2012/02/01,2013/02/01
106,店舗106,2012/02/02,2013/02/02
106,店舗106,2012/02/03,2013/02/03
106,店舗106,2012/02/04,2013/02/04
107,店舗107,2012/02/05,2013/02/05
107,店舗107,2012/02/06,2013/02/06
107,店舗107,2012/02/07,2013/02/07
107,店舗107,2012/02/08,2013/02/08
107,店舗107,2012/02/09,2013/02/09
108,店舗108,2012/02/10,2013/02/10
108,店舗108,2012/02/11,2013/02/11
108,店舗108,2012/02/12,2013/02/12
108,店舗108,2012/02/13,2013/02/13
108,店舗108,2012/02/14,2013/02/14
109,店舗109,2012/02/15,2013/02/15
109,店舗109,2012/02/16,2013/02/16
109,店舗109,2012/02/17,2013/02/17
109,店舗109,2012/02/18,2013/02/18
109,店舗109,2012/02/19,2013/02/19
110,店舗110,2012/02/20,2013/02/20
110,店舗110,2012/02/21,2013/02/21
110,店舗110,2012/02/22,2013/02/22
110,店舗110,2012/02/23,2013/02/23
110,店舗110,2012/02/24,2013/02/24
111,店舗111,2012/02/25,2013/02/25
111,店舗111,2012/02/26,2013/02/26
111,店舗111,2012/02/27,2013/02/27
111,店舗111,2012/02/28,2013/02/28
111,店舗111,2012/02/29,2013/03/01
112,店舗112,2012/03/01,2013/03/02
112,店舗112,2012/03/02,2013/03/03
112,店舗112,2012/03/03,2013/03/04
112,店舗112,2012/03/04,2013/03/05
112,店舗112,2012/03/05,2013/03/06
113,店舗113,2012/03/06,2013/03/07
113,店舗113,2012/03/07,2013/03/08
113,店舗113,2012/03/08,2013/03/09
113,店舗113,2012/03/09,2013/03/10
113,店舗113,2012/03/10,2013/03/11
114,店舗114,2012/03/11,2013/03/12
114,店舗114,2012/03/12,2013/03/13
114,店舗114,2012/03/13,2013/03/14
114,店舗114,2012/03/14,2013/03/15
114,店舗114,2012/03/15,2013/03/16
115,店舗115,2012/03/16,2013/03/17
115,店舗115,2012/03/17,2013/03/18
115,店舗115,2012/03/18,2013/03/19
115,店舗115,2012/03/19,2013/03/20
115,店舗115,2012/03/20,2013/03/21
116,店舗116,2012/03/21,2013/03/22
116,店舗116,2012/03/22,2013/03/23
116,店舗116,2012/03/23,2013/03/24
116,店舗116,2012/03/24,2013/03/25
116,店舗116,2012/03/25,2013/03/26
117,店舗117,2012/03/26,2013/03/27
117,店舗117,2012/03/27,2013/03/28
117,店舗117,2012/03/28,2013/03/29
117,店舗117,2012/03/29,2013/03/30
117,店舗117,2012/03/30,2013/03/31
118,店舗118,2012/03/31,2013/04/01
118,店舗118,2012/04/01,2013/04/02
118,店舗118,2012/04/02,2013/04/03
118,店舗118,2012/04/03,2013/04/04
118,店舗118,2012/04/04,2013/04/05
119,店舗119,2012/04/05,2013/04/06
119,店舗119,2012/04/06,2013/04/07
119,店舗119,2012/04/07,2013/04/08
119,店舗119,2012/04/08,2013/04/09
119,店舗119,2012/04/09,2013/04/10
120,店舗120,2012/04/10,2013/04/11
120,店舗120,2012/04/11,2013/04/12
120,店舗120,2012/04/12,2013/04/13
120,店舗120,2012/04/13,2013/04/14
120,店舗120,2012/04/14,2013/04/15
121,店舗121,2012/04/15,2013/04/16
121,店舗121,2012/04/16,2013/04/17
121,店舗121,2012/04/17,2013/04/18
121,店舗121,2012/04/18,2013/04/19
121,店舗121,2012/04/19,2013/04/20
122,店舗122,2012/04/20,2013/04/21
122,店舗122,2012/04/21,2013/04/22
122,店舗122,2012/04/22,2013/04/23
122,店舗122,2012/04/23,2013/04/24
122,店舗122,2012/04/24,2013/04/25
123,店舗123,2012/04/25,2013/04/26
123,店舗123,2012/04/26,2013/04/27
123,店舗123,2012/04/27,2013/04/28
123,店舗123,2012/04/28,2013/04/29
123,店舗123,2012/04/29,2013/04/30
124,店舗124,2012/04/30,2013/05/01
124,店舗124,2012/05/01,2013/05/02
124,店舗124,2012/05/02,2013/05/03
124,店舗124,2012/05/03,2013/05/04
124,店舗124,2012/05/04,2013/05/05
125,店舗125,2012/05/05,2013/05/06
125,店舗125,2012/05/06,2013/05/07
125,店舗125,2012/05/07,2013/05/08
125,店舗125,2012/05/08,2013/05/09
125,店舗125,2012/05/09,2013/05/10
126,店舗126,2012/05/10,2013/05/11
126,店舗126,2012/05/11,2013/05/12
126,店舗126,2012/05/12,2013/05/13
126,店舗126,2012/05/13,2013/05/14
126,店舗126,2012/05/14,2013/05/15
127,店舗127,2012/05/15,2013/05/16
127,店舗127,2012/05/16,2013/05/17
127,店舗127,2012/05/17,2013/05/18
127,店舗127,2012/05/18,2013/05/19
127,店舗127,2012/05/19,2013/05/20
128,店舗128,2012/05/20,2013/05/21
128,店舗128,2012/05/21,2013/05/22
128,店舗128,2012/05/22,2013/05/23
128,店舗128,2012/05/23,2013/05/24
128,店舗128,2012/05/24,2013/05/25
129,店舗129,2012/05/25,2013/05/26
129,店舗129,2012/05/26,2013/05/27
129,店舗129,2012/05/27,2013/05/28
129,店舗129,2012/05/28,2013/05/29
129,店舗129,2012/05/29,2013/05/30
130,店舗130,2012/05/30,2013/05/31
130,店舗130,2012/05/31,2013/06/01
130,店舗130,2012/06/01,2013/06/02
130,店舗130,2012/06/02,2013/06/03
130,店舗130,2012/06/03,2013/06/04
131,店舗131,2012/06/04,2013/06/05
131,店舗131,2012/06/05,2013/06/06
131,店舗131,2012/06/06,2013/06/07
131,店舗131,2012/06/07,2013/06/08
131,店舗131,2012/06/08,2013/06/09
132,店舗132,2012/06/09,2013/06/10
132,店舗132,2012/06/10,2013/06/11
132,店舗132,2012/06/11,2013/06/12
132,店舗132,2012/06/12,2013/06/13
132,店舗132,2012/06/13,2013/06/14
133,店舗133,2012/06/14,2013/06/15
133,店舗133,2012/06/15,2013/06/16
133,店舗133,2012/06/16,2013/06/17
133,店舗133,2012/06/17,2013/06/18
133,店舗133,2012/06/18,2013/06/19
134,店舗134,2012/06/19,2013/06/20
134,店舗134,2012/06/20,2013/06/21
134,店舗134,2012/06/21,2013/06/22
134,店舗134,2012/06/22,2013/06/23
134,店舗134,2012/06/23,2013/06/24
135,店舗135,2012/06/24,2013/06/25
135,店舗135,2012/06/25,2013/06/26
135,店舗135,2012/06/26,2013/06/27
135,店舗135,2012/06/27,2013/06/28
135,店舗135,2012/06/28,2013/06/29
136,店舗136,2012/06/29,2013/06/30
136,店舗136,2012/06/30,2013/07/01
136,店舗136,2012/07/01,2013/07/02
136,店舗136,2012/07/02,2013/07/03
136,店舗136,2012/07/03,2013/07/04
137,店舗137,2012/07/04,2013/07/05
137,店舗137,2012/07/05,2013/07/06
137,店舗137,2012/07/06,2013/07/07
137,店舗137,2012/07/07,2013/07/08
137,店舗137,2012/07/08,2013/07/09
138,店舗138,2012/07/09,2013/07/10
138,店舗138,2012/07/10,2013/07/11
138,店舗138,2012/07/11,2013/07/12
138,店舗138,2012/07/12,2013/07/13
138,店舗138,2012/07/13,2013/07/14
139,店舗139,2012/07/14,2013/07/15
139,店舗139,2012/07/15,2013/07/16
139,店舗139,2012/07/16,2013/07/17
139,店舗139,2012/07/17,2013/07/18
139,店舗139,2012/07/18,2013/07/19
140,店舗140,2012/07/19,2013/07/20
140,店舗140,2012/07/20,2013/07/21
140,店舗140,2012/07/21,2013/07/22
140,店舗140,2012/07/22,2013/07/23
140,店舗140,2012/07/23,2013/07/24
141,店舗141,2012/07/24,2013/07/25
141,店舗141,2012/07/25,2013/07/26
141,店舗141,2012/07/26,2013/07/27
141,店舗141,2012/07/27,2013/07/28
141,店舗141,2012/07/28,2013/07/29
142,店舗142,2012/07/29,2013/07/30
142,店舗142,2012/07/30,2013/07/31
142,店舗142,2012/07/31,2013/08/01
142,店舗142,2012/08/01,2013/08/02
142,店舗142,2012/08/02,2013/08/03
143,店舗143,2012/08/03,2013/08/04
143,店舗143,2012/08/04,2013/08/05
143,店舗143,2012/08/05,2013/08/06
143,店舗143,2012/08/06,2013/08/07
143,店舗143,2012/08/07,2013/08/08
144,店舗144,2012/08/08,2013/08/09
144,店舗144,2012/08/09,2013/08/10
144,店舗144,2012/08/10,2013/08/11
144,店舗144,2012/08/11,2013/08/12
144,店舗144,2012/08/12,2013/08/13
145,店舗145,2012/08/13,2013/08/14
145,店舗145,2012/08/14,2013/08/15
145,店舗145,2012/08/15,2013/08/16
145,店舗145,2012/08/16,2013/08/17
145,店舗145,2012/08/17,2013/08/18
146,店舗146,2012/08/18,2013/08/19
146,店舗146,2012/08/19,2013/08/20
146,店舗146,2012/08/20,2013/08/21
146,店舗146,2012/08/21,2013/08/22
146,店舗146,2012/08/22,2013/08/23
147,店舗147,2012/08/23,2013/08/24
147,店舗147,2012/08/24,2013/08/25
147,店舗147,2012/08/25,2013/08/26
147,店舗147,2012/08/26,2013/08/27
147,店舗147,2012/08/27,2013/08/28
148,店舗148,2012/08/28,2013/08/29
148,店舗148,2012/08/29,2013/08/30
148,店舗148,2012/08/30,2013/08/31
148,店舗148,2012/08/31,2013/09/01
148,店舗148,2012/09/01,2013/09/02
149,店舗149,2012/09/02,2013/09/03
149,店舗149,2012/09/03,2013/09/04
149,店舗149,2012/09/04,2013/09/05
149,店舗149,2012/09/05,2013/09/06
149,店舗149,2012/09/06,2013/09/07
150,店舗150,2012/09/07,2013/09/08
150,店舗150,2012/09/08,2013/09/09
150,店舗150,2012/09/09,2013/09/10
150,店舗150,2012/09/10,2013/09/11
150,店舗150,2012/09/11,2013/09/12
151,店舗151,2012/09/12,2013/09/13
151,店舗151,2012/09/13,2013/09/14
151,店舗151,2012/09/14,2013/09/15
151,店舗151,2012/09/15,2013/09/16
151,店舗151,2012/09/16,2013/09/17
152,店舗152,2012/09/17,2013/09/18
152,店舗152,2012/09/18,2013/09/19
152,店舗152,2012/09/19,2013/09/20
152,店舗152,2012/09/20,2013/09/21
152,店舗152,2012/09/21,2013/09/22
153,店舗153,2012/09/22,2013/09/23
153,店舗153,2012/09/23,2013/09/24
153,店舗153,2012/09/24,2013/09/25
153,店舗153,2012/09/25,2013/09/26
153,店舗153,2012/09/26,2013/09/27
154,店舗154,2012/09/27,2013/09/28
154,店舗154,2012/09/28,2013/09/29
