JANコード,商品名,部門コード,部門名,カテゴリー1コード,カテゴリー1名,カテゴリー2コード,カテゴリー2名,
12345678900001,商品0001,001,部門001,C1001,カテゴリー1001,C2001,カテゴリー2001
12345678900002,商品0002,001,部門001,C1001,カテゴリー1001,C2001,カテゴリー2001
12345678900003,商品0003,001,部門001,C1001,カテゴリー1001,C2001,カテゴリー2001
12345678900004,商品0004,002,部門002,C1001,カテゴリー1001,C2002,カテゴリー2002
12345678900005,商品0005,002,部門002,C1001,カテゴリー1001,C2002,カテゴリー2002
12345678900006,商品0006,002,部門002,C1002,カテゴリー1002,C2002,カテゴリー2002
12345678900007,商品0007,003,部門003,C1002,カテゴリー1002,C2003,カテゴリー2003
12345678900008,商品0008,003,部門003,C1002,カテゴリー1002,C2003,カテゴリー2003
12345678900009,商品0009,003,部門003,C1002,カテゴリー1002,C2003,カテゴリー2003
12345678900010,商品0010,004,部門004,C1002,カテゴリー1002,C2004,カテゴリー2001
12345678900011,商品0011,004,部門004,C1003,カテゴリー1003,C2004,カテゴリー2001
12345678900012,商品0012,004,部門004,C1003,カテゴリー1003,C2004,カテゴリー2001
12345678900013,商品0013,005,部門005,C1003,カテゴリー1003,C2005,カテゴリー2002
12345678900014,商品0014,005,部門005,C1003,カテゴリー1003,C2005,カテゴリー2002
12345678900015,商品0015,005,部門005,C1003,カテゴリー1003,C2005,カテゴリー2002
12345678900016,商品0016,006,部門006,C1004,カテゴリー1001,C2006,カテゴリー2003
12345678900017,商品0017,006,部門006,C1004,カテゴリー1001,C2006,カテゴリー2003
12345678900018,商品0018,006,部門006,C1004,カテゴリー1001,C2006,カテゴリー2003
12345678900019,商品0019,007,部門007,C1004,カテゴリー1001,C2007,カテゴリー2001
12345678900020,商品0020,007,部門007,C1004,カテゴリー1001,C2007,カテゴリー2001
12345678900021,商品0021,007,部門007,C1005,カテゴリー1002,C2007,カテゴリー2001
12345678900022,商品0022,008,部門008,C1005,カテゴリー1002,C2008,カテゴリー2002
12345678900023,商品0023,008,部門008,C1005,カテゴリー1002,C2008,カテゴリー2002
