店舗コード,GTIN,商品名,有効開始日付,無効予定日,
100,12345678900001,商品00001,2012/01/01,2013/01/01
100,12345678900002,商品00002,2012/01/02,2013/01/01
100,12345678900003,商品00003,2012/01/03,2013/01/01
100,12345678900004,商品00004,2012/01/04,2013/01/01
100,12345678900005,商品00005,2012/01/05,2013/01/01
101,12345678900006,商品00006,2012/01/06,2013/01/02
101,12345678900007,商品00007,2012/01/07,2013/01/02
101,12345678900008,商品00008,2012/01/08,2013/01/02
101,12345678900009,商品00009,2012/01/09,2013/01/02
101,12345678900010,商品00010,2012/01/10,2013/01/02
102,12345678900011,商品00011,2012/01/11,2013/01/02
102,12345678900012,商品00012,2012/01/12,2013/01/03
102,12345678900013,商品00013,2012/01/13,2013/01/03
102,12345678900014,商品00014,2012/01/14,2013/01/03
102,12345678900015,商品00015,2012/01/15,2013/01/03
103,12345678900016,商品00016,2012/01/16,2013/01/03
103,12345678900017,商品00017,2012/01/17,2013/01/03
103,12345678900018,商品00018,2012/01/18,2013/01/04
103,12345678900019,商品00019,2012/01/19,2013/01/04
103,12345678900020,商品00020,2012/01/20,2013/01/04
104,12345678900021,商品00021,2012/01/21,2013/01/04
104,12345678900022,商品00022,2012/01/22,2013/01/04
104,12345678900023,商品00023,2012/01/23,2013/01/04
104,12345678900024,商品00024,2012/01/24,2013/01/05
104,12345678900025,商品00025,2012/01/25,2013/01/05
105,12345678900026,商品00026,2012/01/26,2013/01/05
105,12345678900027,商品00027,2012/01/27,2013/01/05
105,12345678900028,商品00028,2012/01/28,2013/01/05
105,12345678900029,商品00029,2012/01/29,2013/01/05
105,12345678900030,商品00030,2012/01/30,2013/01/06
106,12345678900031,商品00031,2012/01/31,2013/01/06
106,12345678900032,商品00032,2012/02/01,2013/01/06
106,12345678900033,商品00033,2012/02/02,2013/01/06
106,12345678900034,商品00034,2012/02/03,2013/01/06
106,12345678900035,商品00035,2012/02/04,2013/01/06
107,12345678900036,商品00036,2012/02/05,2013/01/07
107,12345678900037,商品00037,2012/02/06,2013/01/07
107,12345678900038,商品00038,2012/02/07,2013/01/07
107,12345678900039,商品00039,2012/02/08,2013/01/07
